Time Deltas	Message	Detail	Time (secs)
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001556
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.013011
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.101343
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	0.001504
T4	__rrcSetup	Pci602@NrArfcn520110	0.000513
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.7e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002307
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	4.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000436
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001112
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000367
T1	__rrcSetupRequest	Pci602@NrArfcn520110	6.7e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.066555
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	0.001211
T4	__rrcSetup	Pci602@NrArfcn520110	0.000518
T1	__rrcSetupRequest	Pci602@NrArfcn520110	1.8e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000283
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000229
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.6e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00047
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.066675
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.101779
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	0.001355
T4	__rrcSetup	Pci602@NrArfcn520110	0.000432
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000619
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.056739
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.019056
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.091674
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	4.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.08662
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00082
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.5e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.049778
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.6e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00262
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.4e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.072278
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.9e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002649
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.108697
T1	__rrcSetupRequest	Pci602@NrArfcn520110	0.000644
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000745
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.3e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.07913
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.4e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001773
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.047362
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.6e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001947
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.1e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.041964
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.113063
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	0.000928
T4	__rrcSetup	Pci602@NrArfcn520110	0.000506
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001576
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000391
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.8e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001664
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.04958
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3e-05
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.106508
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.073869
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.5e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.001305
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001869
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000332
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.6e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000894
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.11222
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000939
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000445
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.9e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001917
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000325
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002297
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	0.093044
T4	__rrcSetup	Pci602@NrArfcn520110	0.002064
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.3e-05
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000375
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000901
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000304
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.6e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000905
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.113153
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.5e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000636
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.1e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.012621
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001843
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.061952
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00094
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	0.11377
T4	__rrcSetup	Pci602@NrArfcn520110	0.001886
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.8e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002096
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000381
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000481
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.5e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000965
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002451
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.116237
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.4e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.139032
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.1e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000419
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002122
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	3e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.008993
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002727
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.048421
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000541
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	5.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.067584
T1	__rrcSetupRequest	Pci602@NrArfcn520110	7.5e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001641
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.056913
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002392
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.110646
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.5e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000501
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.1e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.056712
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.9e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002029
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.041619
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000955
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.109164
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002033
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000384
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.7e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00182
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000522
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.6e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.107535
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.001568
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00227
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000361
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.7e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000509
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.014941
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.9e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.102246
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	3.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000796
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.8e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002164
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000408
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.8e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001927
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.00038
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.05409
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.3e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.001618
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002927
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.029946
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.8e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.002023
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.2e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.043842
T1	__rrcSetupRequest	Pci602@NrArfcn520110	7.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.004868
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.5e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000417
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000793
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.2e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.018038
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001402
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000462
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.9e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001083
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.104877
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.1e-05
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000414
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.5e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001645
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000386
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.056126
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	4e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.001632
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000487
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.062803
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.4e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000644
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.014676
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.4e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001285
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.102456
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.7e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00171
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.3e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000469
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.6e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001962
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000495
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.5e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001016
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.104085
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000603
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.014248
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.5e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001371
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	4.2e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000471
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00257
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.107102
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.2e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001935
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.058323
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.8e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000378
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.047828
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.5e-05
