Time Deltas	Message	Detail	Time (secs)
T4	__rrcConnectionSetup	Pci394@Earfcn651	9.5e-05
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370366177)	7.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000531
T3	______[0xB062] LTE MAC RACH attempt	Success	2e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000287
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 91723551766	6.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001928
T3	______[0xB062] LTE MAC RACH attempt	Success	1.6e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000369
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370367187)	9.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000292
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000322
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370367187)	7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000386
T3	______[0xB062] LTE MAC RACH attempt	Success	1.5e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000249
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 655639409570	4.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001345
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000249
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370368767)	7.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000424
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000252
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 856963314342	6.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000746
T3	______[0xB062] LTE MAC RACH attempt	Success	1.6e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000202
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370369762)	6.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000214
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.00027
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 98491009598	3.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001254
T3	______[0xB062] LTE MAC RACH attempt	Success	1.5e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000217
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370371345)	8.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000389
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.0003
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 540321915987	6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001754
T3	______[0xB062] LTE MAC RACH attempt	Success	1.6e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000583
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370372321)	6.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000481
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000257
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 540652924654	3.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001168
T3	______[0xB062] LTE MAC RACH attempt	Success	1.5e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000259
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370373958)	9.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000314
T3	______[0xB062] LTE MAC RACH attempt	Success	1.9e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000303
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 18837922307	5.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.011984
T3	______[0xB062] LTE MAC RACH attempt	Success	1.4e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000327
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370374916)	9.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000501
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000297
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Signalling, random Value 891189982518	7.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001347
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000254
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370376484)	8.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000385
T3	______[0xB062] LTE MAC RACH attempt	Success	1.9e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000428
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 910559868088	4.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.002189
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000224
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370377498)	0.000388
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000492
T3	______[0xB062] LTE MAC RACH attempt	Success	2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000309
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 79408173410	4.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.004926
T3	______[0xB062] LTE MAC RACH attempt	Success	1.6e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000339
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370379053)	6.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000305
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000265
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370379053)	7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001092
T3	______[0xB062] LTE MAC RACH attempt	Success	2.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000303
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 790053804483	5.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001191
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000184
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370380047)	7.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.002051
T3	______[0xB062] LTE MAC RACH attempt	Success	0.000167
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000297
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370380047)	9.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000329
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000175
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 139682017565	7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00164
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000364
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370381569)	9.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000304
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000346
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 195152623587	4.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.004555
T3	______[0xB062] LTE MAC RACH attempt	Success	1.5e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000292
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370382522)	9.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001441
T3	______[0xB062] LTE MAC RACH attempt	Success	2.1e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000107
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370382522)	9.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000125
T3	______[0xB062] LTE MAC RACH attempt	Success	6e-06
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000106
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 53367032944	4.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.062879
T3	______[0xB062] LTE MAC RACH attempt	Success	2.9e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000414
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370384060)	7.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.009131
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000389
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 846808930977	4.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000928
T3	______[0xB062] LTE MAC RACH attempt	Success	1.4e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000231
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370384981)	8.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000352
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000507
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 882804850044	5.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.058297
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000463
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370386547)	9.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000334
T3	______[0xB062] LTE MAC RACH attempt	Success	1.9e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000483
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Signalling, random Value 493454830874	3.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.018661
T3	______[0xB062] LTE MAC RACH attempt	Success	1.6e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000224
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370387504)	7.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000749
T3	______[0xB062] LTE MAC RACH attempt	Success	2.1e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000323
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 728957063056	0.000154
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001048
T3	______[0xB062] LTE MAC RACH attempt	Success	1.4e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000233
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370389058)	8.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000405
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000293
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 231652550104	5.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.005335
T3	______[0xB062] LTE MAC RACH attempt	Success	1.6e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000425
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370389979)	8.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000326
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000339
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 170216249298	5.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.0016
T3	______[0xB062] LTE MAC RACH attempt	Success	2.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000329
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370391383)	0.000136
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000275
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000355
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 450780644117	7.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001198
T3	______[0xB062] LTE MAC RACH attempt	Success	1.6e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000304
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370392249)	7.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00044
T3	______[0xB062] LTE MAC RACH attempt	Success	1.6e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000252
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 498868412095	5.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.002623
T3	______[0xB062] LTE MAC RACH attempt	Success	6.5e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000401
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370393816)	7.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.0005
T3	______[0xB062] LTE MAC RACH attempt	Success	3.9e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000274
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 621933071684	6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.003102
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000275
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370394752)	8.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000657
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000235
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 794101733568	5.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001596
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000274
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370396190)	8.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000322
T3	______[0xB062] LTE MAC RACH attempt	Success	2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000284
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 324116184454	1.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.046203
T3	______[0xB062] LTE MAC RACH attempt	Success	6e-06
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000136
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370397066)	3.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000194
T3	______[0xB062] LTE MAC RACH attempt	Success	6e-06
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000112
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 72002949803	5.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.003068
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000377
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370398526)	0.00011
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000604
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000281
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 28800600864	1.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000287
T3	______[0xB062] LTE MAC RACH attempt	Success	5e-06
T4	__rrcConnectionSetup	Pci394@Earfcn651	7.7e-05
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370399445)	6.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00128
T3	______[0xB062] LTE MAC RACH attempt	Success	1.4e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000272
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 463440041429	5.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.052039
T3	______[0xB062] LTE MAC RACH attempt	Success	7e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000115
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370400924)	4.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000182
T3	______[0xB062] LTE MAC RACH attempt	Success	8e-06
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000128
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 206810278578	2.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.042705
T3	______[0xB062] LTE MAC RACH attempt	Success	6e-06
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000107
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370401853)	5.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00064
T3	______[0xB062] LTE MAC RACH attempt	Success	7e-06
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000114
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370401853)	5.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000387
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000564
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 811340669241	6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001308
T3	______[0xB062] LTE MAC RACH attempt	Success	2e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000272
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3370403240)	3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	9e-05
T3	______[0xB062] LTE MAC RACH attempt	Success	4.1e-05
T4	__rrcConnectionSetup	Pci394@Earfcn651	0.000117
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 979340991899	5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000783
T3	______[0xB062] LTE MAC RACH attempt	Success	1.5e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000263
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3370404089)	0.000105
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000375
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000257
T1	__rrcConnectionRequest	Pci394@Earfcn651 mo_Signalling, random Value 753807417342	3.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.009855
